ID,Vehicle_Model_Year,Transmission_Type,Rent_Price,Article_Type,Type_Of_Bodywork,Engine_Displacement,Type_Of_Bodywork_year,Rental_Cost
1,2000,Manual,1000,Sedan,Compact,1.6,2000,100
2,2001,Automatic,1500,SUV,Full-size,2.0,2001,150
3,2002,Manual,2000,Truck,Mid-size,2.4,2002,200
4,2003,Automatic,2500,Coupe,Compact,1.8,2003,250
5,2004,Manual,3000,Convertible,Full-size,2.2,2004,300
6,2005,Automatic,3500,Wagon,Mid-size,2.0,2005,350
7,2006,Manual,4000,Sedan,Compact,1.6,2006,400
8,2007,Automatic,4500,SUV,Full-size,2.4,2007,450
9,2008,Manual,5000,Truck,Mid-size,2.0,2008,500
10,2009,Automatic,5500,Coupe,Compact,1.8,2009,550
11,2010,Manual,6000,Convertible,Full-size,2.2,2010,600
12,2011,Automatic,6500,Wagon,Mid-size,2.0,2011,650
13,2012,Manual,7000,Sedan,Compact,1.6,2012,700
14,2013,Automatic,7500,SUV,Full-size,2.4,2013,750
15,2014,Manual,8000,Truck,Mid-size,2.0,2014,800
16,2015,Automatic,8500,Coupe,Compact,1.8,2015,850
17,2016,Manual,9000,Convertible,Full-size,2.2,2016,900
18,2017,Automatic,9500,Wagon,Mid-size,2.0,2017,950
19,2018,Manual,10000,Sedan,Compact,1.6,2018,1000
20,2019,Automatic,10500,SUV,Full-size,2.4,2019,1050
21,2020,Manual,11000,Truck,Mid-size,2.0,2020,1100
22,2021,Automatic,11500,Coupe,Compact,1.8,2021,1150
23,2022,Manual,12000,Convertible,Full-size,2.2,2022,1200
24,2023,Automatic,12500,Wagon,Mid-size,2.0,2023,1250
25,2024,Manual,13000,Sedan,Compact,1.6,2024,1300
26,2025,Automatic,13500,SUV,Full-size,2.4,2025,1350
27,2026,Manual,14000,Truck,Mid-size,2.0,2026,1400
28,2027,Automatic,14500,Coupe,Compact,1.8,2027,1450
29,2028,Manual,15000,Convertible,Full-size,2.2,2028,1500
30,2029,Automatic,15500,Wagon,Mid-size,2.0,2029,1550
